MAG13_MS100_SN338 X,MAG13_MS100_SN338 Y,MAG13_MS100_SN338 Z,MAG13_MS100_SN596 X,MAG13_MS100_SN596 Y,MAG13_MS100_SN596 Z,MAG13_MS100_SN597 X,MAG13_MS100_SN597 Y,MAG13_MS100_SN597 Z,MAG13_MSL100_SN773 X,MAG13_MSL100_SN773 Y,MAG13_MSL100_SN773 Z,MAG13_MSL100_SN594 X,MAG13_MSL100_SN594 Y,MAG13_MSL100_SN594 Z,MAG13_MSL100_SN777 X,MAG13_MSL100_SN777 Y,MAG13_MSL100_SN777 Z,MAG13_MS70_SN339 X,MAG13_MS70_SN339 Y,MAG13_MS70_SN339 Z
-369.519E-9,-526.564E-9,57.412E-9,-484.899E-9,-520.421E-9,82.785E-9,-700.702E-9,-566.226E-9,193.091E-9,-848.933E-9,-526.030E-9,240.765E-9,-1.294E-6,-498.120E-9,460.574E-9,-2.240E-6,-354.429E-9,788.151E-9,-6.236E-6,1.336E-6,2.518E-6
-370.855E-9,-526.297E-9,58.214E-9,-483.831E-9,-518.485E-9,81.851E-9,-699.767E-9,-564.356E-9,195.227E-9,-850.602E-9,-525.896E-9,240.498E-9,-1.292E-6,-496.651E-9,460.040E-9,-2.239E-6,-354.429E-9,788.552E-9,-6.235E-6,1.338E-6,2.519E-6
-369.252E-9,-525.629E-9,57.279E-9,-483.964E-9,-517.350E-9,83.587E-9,-698.566E-9,-564.356E-9,194.560E-9,-848.800E-9,-524.428E-9,241.700E-9,-1.292E-6,-497.319E-9,460.574E-9,-2.240E-6,-354.296E-9,788.685E-9,-6.234E-6,1.339E-6,2.520E-6
-368.451E-9,-525.095E-9,58.614E-9,-483.030E-9,-517.283E-9,81.851E-9,-698.365E-9,-563.355E-9,193.625E-9,-849.801E-9,-525.896E-9,240.698E-9,-1.293E-6,-497.853E-9,462.043E-9,-2.240E-6,-354.429E-9,788.752E-9,-6.233E-6,1.340E-6,2.519E-6
-370.054E-9,-526.297E-9,57.412E-9,-482.763E-9,-516.281E-9,82.251E-9,-698.298E-9,-564.490E-9,195.094E-9,-849.868E-9,-524.828E-9,240.364E-9,-1.293E-6,-497.853E-9,460.040E-9,-2.239E-6,-354.429E-9,787.884E-9,-6.232E-6,1.340E-6,2.521E-6
-369.653E-9,-525.496E-9,58.614E-9,-482.228E-9,-516.682E-9,83.453E-9,-697.764E-9,-564.356E-9,193.224E-9,-849.401E-9,-526.297E-9,239.697E-9,-1.293E-6,-496.651E-9,460.040E-9,-2.240E-6,-355.231E-9,787.951E-9,-6.232E-6,1.340E-6,2.521E-6
-371.122E-9,-524.294E-9,58.080E-9,-483.163E-9,-516.148E-9,84.388E-9,-698.432E-9,-562.887E-9,193.892E-9,-850.001E-9,-526.030E-9,240.498E-9,-1.292E-6,-498.120E-9,460.040E-9,-2.240E-6,-354.830E-9,788.285E-9,-6.232E-6,1.339E-6,2.521E-6
-371.055E-9,-525.095E-9,57.012E-9,-482.228E-9,-515.881E-9,83.453E-9,-698.966E-9,-562.554E-9,192.823E-9,-849.601E-9,-524.494E-9,239.096E-9,-1.292E-6,-499.055E-9,460.040E-9,-2.239E-6,-354.830E-9,788.151E-9,-6.232E-6,1.339E-6,2.522E-6
-371.656E-9,-525.095E-9,57.412E-9,-482.095E-9,-516.415E-9,84.254E-9,-698.966E-9,-562.086E-9,192.957E-9,-850.001E-9,-525.896E-9,239.830E-9,-1.291E-6,-498.520E-9,460.441E-9,-2.241E-6,-354.830E-9,788.418E-9,-6.231E-6,1.339E-6,2.522E-6
-372.057E-9,-522.291E-9,57.012E-9,-483.430E-9,-515.280E-9,84.855E-9,-698.365E-9,-561.552E-9,192.223E-9,-849.601E-9,-524.094E-9,240.097E-9,-1.291E-6,-497.853E-9,461.642E-9,-2.239E-6,-354.830E-9,788.552E-9,-6.231E-6,1.340E-6,2.523E-6
-373.259E-9,-524.027E-9,56.478E-9,-483.297E-9,-514.946E-9,85.056E-9,-698.432E-9,-560.884E-9,191.221E-9,-849.334E-9,-525.763E-9,239.697E-9,-1.291E-6,-497.986E-9,460.307E-9,-2.240E-6,-354.830E-9,787.751E-9,-6.230E-6,1.340E-6,2.523E-6
-374.260E-9,-522.892E-9,57.412E-9,-483.030E-9,-515.080E-9,85.456E-9,-696.963E-9,-561.552E-9,192.423E-9,-849.200E-9,-524.294E-9,239.697E-9,-1.290E-6,-500.056E-9,461.843E-9,-2.240E-6,-355.231E-9,787.751E-9,-6.229E-6,1.341E-6,2.523E-6
-373.526E-9,-523.626E-9,56.878E-9,-482.763E-9,-514.011E-9,85.990E-9,-697.364E-9,-559.415E-9,191.889E-9,-848.933E-9,-525.362E-9,239.429E-9,-1.291E-6,-499.188E-9,461.909E-9,-2.240E-6,-354.296E-9,788.018E-9,-6.229E-6,1.342E-6,2.523E-6
-372.257E-9,-524.695E-9,55.810E-9,-483.430E-9,-515.080E-9,85.857E-9,-698.165E-9,-559.549E-9,193.024E-9,-850.402E-9,-524.895E-9,239.897E-9,-1.290E-6,-498.053E-9,461.642E-9,-2.240E-6,-354.229E-9,788.151E-9,-6.229E-6,1.341E-6,2.524E-6
-374.995E-9,-523.626E-9,56.878E-9,-482.362E-9,-514.145E-9,85.723E-9,-698.699E-9,-558.213E-9,191.755E-9,-850.402E-9,-524.828E-9,240.097E-9,-1.291E-6,-500.257E-9,460.173E-9,-2.240E-6,-354.429E-9,788.018E-9,-6.229E-6,1.341E-6,2.523E-6
-375.462E-9,-524.494E-9,57.613E-9,-482.028E-9,-513.277E-9,85.256E-9,-699.367E-9,-558.748E-9,191.622E-9,-850.803E-9,-524.695E-9,239.296E-9,-1.291E-6,-499.455E-9,460.441E-9,-2.240E-6,-354.229E-9,787.350E-9,-6.229E-6,1.343E-6,2.523E-6
-376.197E-9,-523.760E-9,56.478E-9,-482.629E-9,-513.878E-9,86.658E-9,-698.298E-9,-558.881E-9,191.221E-9,-850.536E-9,-524.962E-9,239.964E-9,-1.290E-6,-499.188E-9,461.375E-9,-2.239E-6,-354.029E-9,788.018E-9,-6.228E-6,1.343E-6,2.524E-6
-375.262E-9,-524.695E-9,56.611E-9,-483.631E-9,-513.878E-9,85.456E-9,-697.764E-9,-557.946E-9,190.620E-9,-848.800E-9,-525.496E-9,238.294E-9,-1.290E-6,-499.455E-9,463.245E-9,-2.240E-6,-354.229E-9,787.951E-9,-6.228E-6,1.343E-6,2.525E-6
-376.597E-9,-524.695E-9,56.745E-9,-483.030E-9,-513.344E-9,85.990E-9,-698.298E-9,-557.679E-9,190.286E-9,-849.601E-9,-525.095E-9,239.162E-9,-1.290E-6,-499.856E-9,461.108E-9,-2.240E-6,-354.963E-9,787.884E-9,-6.228E-6,1.343E-6,2.525E-6
-377.065E-9,-524.695E-9,56.812E-9,-482.629E-9,-513.076E-9,86.858E-9,-698.165E-9,-557.946E-9,190.420E-9,-849.401E-9,-525.095E-9,239.897E-9,-1.290E-6,-501.058E-9,461.642E-9,-2.239E-6,-356.432E-9,787.751E-9,-6.228E-6,1.343E-6,2.525E-6
-376.597E-9,-524.027E-9,56.478E-9,-483.163E-9,-512.275E-9,85.323E-9,-698.833E-9,-557.412E-9,190.820E-9,-850.269E-9,-525.229E-9,239.964E-9,-1.290E-6,-499.055E-9,461.242E-9,-2.240E-6,-354.296E-9,786.282E-9,-6.227E-6,1.343E-6,2.525E-6
-375.662E-9,-524.494E-9,56.611E-9,-483.030E-9,-512.876E-9,85.857E-9,-699.567E-9,-556.344E-9,189.618E-9,-849.601E-9,-525.496E-9,239.296E-9,-1.291E-6,-499.455E-9,461.242E-9,-2.239E-6,-354.630E-9,787.550E-9,-6.227E-6,1.344E-6,2.525E-6
-376.197E-9,-524.160E-9,55.944E-9,-483.030E-9,-511.875E-9,86.257E-9,-698.966E-9,-556.344E-9,190.286E-9,-848.933E-9,-525.095E-9,239.296E-9,-1.290E-6,-499.455E-9,461.909E-9,-2.239E-6,-354.563E-9,787.350E-9,-6.227E-6,1.344E-6,2.526E-6
-377.265E-9,-523.693E-9,55.810E-9,-482.829E-9,-510.272E-9,86.057E-9,-699.367E-9,-555.943E-9,191.622E-9,-850.001E-9,-525.496E-9,239.496E-9,-1.290E-6,-498.854E-9,461.442E-9,-2.240E-6,-354.429E-9,786.749E-9,-6.227E-6,1.344E-6,2.525E-6
-377.265E-9,-523.626E-9,56.611E-9,-482.896E-9,-511.207E-9,86.257E-9,-697.764E-9,-555.409E-9,190.954E-9,-850.536E-9,-523.893E-9,240.498E-9,-1.289E-6,-498.387E-9,460.574E-9,-2.239E-6,-354.029E-9,787.350E-9,-6.227E-6,1.345E-6,2.526E-6
-377.866E-9,-524.294E-9,57.012E-9,-482.629E-9,-510.272E-9,86.057E-9,-698.966E-9,-555.142E-9,188.617E-9,-850.402E-9,-523.893E-9,238.895E-9,-1.290E-6,-499.656E-9,461.242E-9,-2.239E-6,-354.029E-9,786.949E-9,-6.226E-6,1.345E-6,2.525E-6
-378.867E-9,-524.695E-9,55.676E-9,-483.163E-9,-509.604E-9,86.525E-9,-698.833E-9,-555.943E-9,189.084E-9,-850.001E-9,-525.229E-9,239.563E-9,-1.290E-6,-499.589E-9,460.841E-9,-2.240E-6,-354.162E-9,787.483E-9,-6.226E-6,1.345E-6,2.526E-6
