MAG13_MS100_SN338 X,MAG13_MS100_SN338 Y,MAG13_MS100_SN338 Z,MAG13_MS100_SN596 X,MAG13_MS100_SN596 Y,MAG13_MS100_SN596 Z,MAG13_MS100_SN597 X,MAG13_MS100_SN597 Y,MAG13_MS100_SN597 Z,MAG13_MSL100_SN773 X,MAG13_MSL100_SN773 Y,MAG13_MSL100_SN773 Z,MAG13_MSL100_SN594 X,MAG13_MSL100_SN594 Y,MAG13_MSL100_SN594 Z,MAG13_MSL100_SN777 X,MAG13_MSL100_SN777 Y,MAG13_MSL100_SN777 Z,MAG13_MS70_SN339 X,MAG13_MS70_SN339 Y,MAG13_MS70_SN339 Z
-513.878E-9,-555.743E-9,83.253E-9,-637.671E-9,-571.568E-9,100.279E-9,-810.340E-9,-576.776E-9,181.806E-9,-956.968E-9,-550.935E-9,241.299E-9,-1.403E-6,-529.702E-9,474.062E-9,-2.313E-6,-371.656E-9,783.143E-9,-6.295E-6,1.297E-6,2.487E-6
-514.145E-9,-553.807E-9,82.385E-9,-639.006E-9,-567.695E-9,96.674E-9,-811.274E-9,-580.248E-9,184.010E-9,-958.704E-9,-551.002E-9,240.097E-9,-1.402E-6,-526.564E-9,471.524E-9,-2.313E-6,-371.523E-9,782.676E-9,-6.294E-6,1.298E-6,2.489E-6
-515.480E-9,-554.140E-9,80.849E-9,-639.273E-9,-566.360E-9,95.472E-9,-812.142E-9,-584.588E-9,186.413E-9,-958.370E-9,-549.734E-9,240.898E-9,-1.399E-6,-526.698E-9,469.855E-9,-2.313E-6,-372.057E-9,783.744E-9,-6.294E-6,1.300E-6,2.490E-6
-516.415E-9,-552.204E-9,78.512E-9,-637.938E-9,-565.024E-9,92.801E-9,-813.411E-9,-587.192E-9,187.482E-9,-958.170E-9,-551.403E-9,241.700E-9,-1.397E-6,-524.294E-9,468.854E-9,-2.313E-6,-371.389E-9,783.210E-9,-6.293E-6,1.302E-6,2.490E-6
-519.687E-9,-551.536E-9,78.245E-9,-637.871E-9,-562.554E-9,91.265E-9,-814.546E-9,-590.597E-9,189.218E-9,-958.170E-9,-550.335E-9,239.296E-9,-1.396E-6,-521.289E-9,470.256E-9,-2.313E-6,-372.057E-9,782.743E-9,-6.293E-6,1.303E-6,2.490E-6
-518.819E-9,-550.602E-9,76.910E-9,-636.469E-9,-563.555E-9,89.730E-9,-813.812E-9,-594.537E-9,192.823E-9,-957.502E-9,-552.471E-9,240.231E-9,-1.394E-6,-519.620E-9,465.782E-9,-2.313E-6,-370.588E-9,784.145E-9,-6.292E-6,1.305E-6,2.491E-6
-518.685E-9,-549.133E-9,74.840E-9,-635.067E-9,-564.557E-9,89.462E-9,-815.948E-9,-595.605E-9,194.426E-9,-958.971E-9,-551.536E-9,241.700E-9,-1.392E-6,-518.685E-9,466.049E-9,-2.313E-6,-371.656E-9,783.344E-9,-6.292E-6,1.307E-6,2.491E-6
-520.688E-9,-548.866E-9,74.906E-9,-634.466E-9,-563.422E-9,87.059E-9,-816.483E-9,-597.208E-9,194.960E-9,-957.769E-9,-551.403E-9,241.032E-9,-1.391E-6,-518.418E-9,463.779E-9,-2.312E-6,-371.656E-9,783.477E-9,-6.292E-6,1.310E-6,2.491E-6
-522.291E-9,-548.732E-9,73.838E-9,-631.461E-9,-562.353E-9,86.658E-9,-816.549E-9,-600.012E-9,195.628E-9,-957.369E-9,-551.536E-9,240.097E-9,-1.390E-6,-517.483E-9,464.447E-9,-2.313E-6,-371.055E-9,783.544E-9,-6.292E-6,1.313E-6,2.492E-6
-523.626E-9,-547.797E-9,72.770E-9,-631.661E-9,-562.754E-9,85.723E-9,-817.417E-9,-602.549E-9,195.895E-9,-958.437E-9,-550.602E-9,240.498E-9,-1.390E-6,-516.682E-9,461.642E-9,-2.313E-6,-371.790E-9,782.943E-9,-6.292E-6,1.314E-6,2.494E-6
-525.095E-9,-548.331E-9,74.038E-9,-630.660E-9,-562.754E-9,83.854E-9,-817.952E-9,-604.018E-9,199.033E-9,-958.971E-9,-551.737E-9,240.097E-9,-1.388E-6,-515.080E-9,461.442E-9,-2.313E-6,-370.855E-9,783.945E-9,-6.291E-6,1.315E-6,2.496E-6
-526.564E-9,-547.931E-9,73.304E-9,-630.593E-9,-562.887E-9,83.587E-9,-818.085E-9,-605.621E-9,200.302E-9,-959.105E-9,-551.403E-9,239.697E-9,-1.387E-6,-516.014E-9,460.574E-9,-2.313E-6,-370.988E-9,783.611E-9,-6.289E-6,1.316E-6,2.498E-6
-526.698E-9,-548.331E-9,75.240E-9,-629.057E-9,-561.953E-9,83.653E-9,-818.753E-9,-607.223E-9,199.634E-9,-957.970E-9,-552.338E-9,240.498E-9,-1.386E-6,-514.278E-9,460.841E-9,-2.313E-6,-371.656E-9,783.344E-9,-6.288E-6,1.317E-6,2.499E-6
-526.965E-9,-547.664E-9,73.838E-9,-628.323E-9,-561.552E-9,83.052E-9,-817.150E-9,-607.090E-9,199.768E-9,-957.502E-9,-551.136E-9,240.498E-9,-1.385E-6,-514.679E-9,460.307E-9,-2.313E-6,-371.122E-9,783.477E-9,-6.286E-6,1.318E-6,2.500E-6
-527.098E-9,-547.330E-9,74.439E-9,-628.456E-9,-561.352E-9,83.453E-9,-817.150E-9,-606.622E-9,197.631E-9,-957.769E-9,-550.735E-9,238.495E-9,-1.385E-6,-514.479E-9,458.437E-9,-2.312E-6,-371.255E-9,782.342E-9,-6.285E-6,1.320E-6,2.501E-6
-528.968E-9,-549.266E-9,74.372E-9,-629.658E-9,-561.418E-9,83.987E-9,-817.551E-9,-606.555E-9,200.702E-9,-957.769E-9,-551.269E-9,240.231E-9,-1.384E-6,-515.213E-9,459.239E-9,-2.312E-6,-371.122E-9,783.077E-9,-6.284E-6,1.321E-6,2.503E-6
-528.701E-9,-547.931E-9,74.439E-9,-628.256E-9,-560.350E-9,84.054E-9,-816.349E-9,-606.823E-9,200.636E-9,-957.168E-9,-553.139E-9,239.697E-9,-1.384E-6,-516.281E-9,458.838E-9,-2.312E-6,-371.856E-9,782.743E-9,-6.284E-6,1.322E-6,2.503E-6
-527.499E-9,-548.866E-9,74.372E-9,-629.658E-9,-559.282E-9,85.056E-9,-817.684E-9,-605.487E-9,200.836E-9,-957.903E-9,-551.536E-9,239.429E-9,-1.384E-6,-515.614E-9,458.704E-9,-2.313E-6,-372.190E-9,782.810E-9,-6.283E-6,1.323E-6,2.504E-6
-528.501E-9,-548.532E-9,74.439E-9,-628.657E-9,-557.946E-9,85.656E-9,-815.948E-9,-605.020E-9,198.833E-9,-957.970E-9,-551.136E-9,238.895E-9,-1.385E-6,-514.679E-9,459.639E-9,-2.313E-6,-371.456E-9,783.143E-9,-6.282E-6,1.323E-6,2.505E-6
-528.567E-9,-547.263E-9,73.571E-9,-628.590E-9,-557.279E-9,83.587E-9,-816.750E-9,-605.087E-9,199.100E-9,-958.437E-9,-551.269E-9,239.029E-9,-1.383E-6,-514.145E-9,457.503E-9,-2.312E-6,-371.255E-9,782.676E-9,-6.282E-6,1.324E-6,2.505E-6
-529.702E-9,-548.331E-9,73.437E-9,-626.854E-9,-556.945E-9,84.054E-9,-816.149E-9,-605.220E-9,200.836E-9,-957.970E-9,-551.737E-9,238.495E-9,-1.383E-6,-514.879E-9,457.436E-9,-2.312E-6,-370.855E-9,782.542E-9,-6.282E-6,1.325E-6,2.506E-6
-530.170E-9,-547.397E-9,73.972E-9,-626.720E-9,-556.077E-9,85.323E-9,-815.014E-9,-603.751E-9,198.699E-9,-958.437E-9,-550.869E-9,238.495E-9,-1.383E-6,-514.679E-9,458.838E-9,-2.312E-6,-371.122E-9,782.142E-9,-6.281E-6,1.325E-6,2.506E-6
-529.101E-9,-547.530E-9,72.236E-9,-627.655E-9,-554.942E-9,84.855E-9,-816.750E-9,-604.419E-9,199.233E-9,-958.571E-9,-551.536E-9,238.495E-9,-1.381E-6,-514.078E-9,457.636E-9,-2.312E-6,-370.655E-9,782.542E-9,-6.280E-6,1.325E-6,2.507E-6
-531.105E-9,-546.328E-9,72.770E-9,-626.720E-9,-555.008E-9,85.456E-9,-816.082E-9,-603.217E-9,198.699E-9,-957.636E-9,-551.803E-9,238.495E-9,-1.382E-6,-513.344E-9,458.704E-9,-2.313E-6,-370.454E-9,782.810E-9,-6.280E-6,1.326E-6,2.508E-6
-531.105E-9,-546.128E-9,73.237E-9,-627.655E-9,-554.741E-9,84.855E-9,-816.349E-9,-602.816E-9,198.032E-9,-957.569E-9,-550.535E-9,239.296E-9,-1.383E-6,-514.278E-9,457.836E-9,-2.313E-6,-371.456E-9,782.943E-9,-6.279E-6,1.326E-6,2.508E-6
