MAG13_MS100_SN338 X,MAG13_MS100_SN338 Y,MAG13_MS100_SN338 Z,MAG13_MS100_SN596 X,MAG13_MS100_SN596 Y,MAG13_MS100_SN596 Z,MAG13_MS100_SN597 X,MAG13_MS100_SN597 Y,MAG13_MS100_SN597 Z,MAG13_MSL100_SN773 X,MAG13_MSL100_SN773 Y,MAG13_MSL100_SN773 Z,MAG13_MSL100_SN594 X,MAG13_MSL100_SN594 Y,MAG13_MSL100_SN594 Z,MAG13_MSL100_SN777 X,MAG13_MSL100_SN777 Y,MAG13_MSL100_SN777 Z,MAG13_MS70_SN339 X,MAG13_MS70_SN339 Y,MAG13_MS70_SN339 Z
-539.518E-9,-562.487E-9,85.857E-9,-653.161E-9,-546.862E-9,108.025E-9,-812.343E-9,-543.524E-9,175.196E-9,-955.499E-9,-528.968E-9,246.908E-9,-1.395E-6,-511.073E-9,478.202E-9,-2.289E-6,-349.488E-9,784.145E-9,-6.278E-6,1.316E-6,2.489E-6
-541.921E-9,-559.950E-9,84.054E-9,-652.494E-9,-545.727E-9,103.885E-9,-814.947E-9,-547.530E-9,179.603E-9,-954.765E-9,-528.300E-9,246.507E-9,-1.391E-6,-505.865E-9,475.464E-9,-2.289E-6,-348.821E-9,783.945E-9,-6.278E-6,1.317E-6,2.490E-6
-544.859E-9,-557.679E-9,81.583E-9,-653.161E-9,-542.589E-9,100.680E-9,-818.486E-9,-550.468E-9,184.811E-9,-954.832E-9,-528.834E-9,245.973E-9,-1.387E-6,-503.461E-9,474.997E-9,-2.290E-6,-349.221E-9,784.813E-9,-6.276E-6,1.318E-6,2.491E-6
-546.729E-9,-555.142E-9,80.649E-9,-653.295E-9,-541.521E-9,98.276E-9,-820.556E-9,-553.740E-9,187.415E-9,-955.366E-9,-528.901E-9,247.509E-9,-1.386E-6,-499.455E-9,471.257E-9,-2.290E-6,-348.821E-9,784.345E-9,-6.276E-6,1.318E-6,2.492E-6
-547.931E-9,-553.807E-9,79.847E-9,-652.093E-9,-540.185E-9,94.270E-9,-822.492E-9,-557.679E-9,189.218E-9,-954.431E-9,-528.434E-9,246.507E-9,-1.382E-6,-498.654E-9,470.456E-9,-2.290E-6,-348.821E-9,783.611E-9,-6.276E-6,1.321E-6,2.492E-6
-550.735E-9,-551.937E-9,78.045E-9,-650.491E-9,-540.720E-9,93.869E-9,-823.961E-9,-561.151E-9,191.622E-9,-953.563E-9,-529.502E-9,247.308E-9,-1.379E-6,-498.253E-9,469.455E-9,-2.289E-6,-350.623E-9,783.945E-9,-6.274E-6,1.322E-6,2.493E-6
-553.272E-9,-550.602E-9,77.444E-9,-648.755E-9,-540.452E-9,92.534E-9,-825.830E-9,-564.623E-9,194.960E-9,-954.431E-9,-528.300E-9,246.240E-9,-1.378E-6,-495.583E-9,466.984E-9,-2.290E-6,-348.687E-9,783.744E-9,-6.272E-6,1.324E-6,2.494E-6
-554.541E-9,-549.133E-9,77.844E-9,-647.686E-9,-539.718E-9,91.866E-9,-826.365E-9,-566.360E-9,195.227E-9,-955.566E-9,-529.502E-9,246.507E-9,-1.375E-6,-494.047E-9,465.248E-9,-2.289E-6,-350.022E-9,783.744E-9,-6.271E-6,1.327E-6,2.495E-6
-556.210E-9,-547.931E-9,77.043E-9,-647.286E-9,-538.984E-9,93.068E-9,-827.299E-9,-568.897E-9,196.296E-9,-953.496E-9,-528.834E-9,246.374E-9,-1.374E-6,-493.579E-9,465.382E-9,-2.289E-6,-348.687E-9,784.145E-9,-6.270E-6,1.328E-6,2.496E-6
-556.945E-9,-547.530E-9,77.043E-9,-646.885E-9,-539.718E-9,92.868E-9,-826.765E-9,-570.766E-9,197.431E-9,-955.165E-9,-529.502E-9,247.308E-9,-1.374E-6,-493.446E-9,463.645E-9,-2.289E-6,-349.822E-9,783.744E-9,-6.268E-6,1.330E-6,2.498E-6
-557.145E-9,-544.993E-9,75.975E-9,-646.217E-9,-539.918E-9,94.136E-9,-826.098E-9,-571.968E-9,200.569E-9,-954.431E-9,-529.101E-9,247.442E-9,-1.373E-6,-492.378E-9,464.714E-9,-2.289E-6,-348.821E-9,783.878E-9,-6.267E-6,1.332E-6,2.500E-6
-557.345E-9,-546.328E-9,77.644E-9,-646.084E-9,-539.117E-9,94.871E-9,-826.966E-9,-572.769E-9,200.836E-9,-955.566E-9,-529.302E-9,246.307E-9,-1.373E-6,-492.645E-9,464.647E-9,-2.290E-6,-349.021E-9,783.744E-9,-6.265E-6,1.332E-6,2.501E-6
-558.748E-9,-547.130E-9,75.441E-9,-645.416E-9,-537.782E-9,94.270E-9,-825.563E-9,-572.636E-9,202.305E-9,-953.763E-9,-529.502E-9,246.507E-9,-1.371E-6,-491.309E-9,463.779E-9,-2.289E-6,-348.553E-9,783.878E-9,-6.264E-6,1.332E-6,2.503E-6
-557.345E-9,-545.126E-9,76.442E-9,-644.481E-9,-537.515E-9,93.869E-9,-825.764E-9,-571.768E-9,203.039E-9,-953.763E-9,-529.302E-9,246.908E-9,-1.370E-6,-492.645E-9,462.043E-9,-2.289E-6,-349.221E-9,783.744E-9,-6.262E-6,1.333E-6,2.505E-6
